TID,Variable,Value
1985-01,INDHOLD,49.9
1985-01,pi^12_t,0.05720338983050821
1985-01,pi_t,0.004024144869215096
1985-02,2020indeks,48.737864077669904
1985-02,INDHOLD,50.2
1985-02,pi^12_t,0.052410901467505155
1985-02,pi_t,0.006012024048096309
1985-03,2020indeks,49.12621359223301
1985-03,INDHOLD,50.6
1985-03,pi^12_t,0.05857740585774063
1985-03,pi_t,0.007968127490039834
1985-04,2020indeks,49.32038834951456
1985-04,INDHOLD,50.8
1985-04,pi^12_t,0.058333333333333126
1985-04,pi_t,0.0039525691699604515
1985-05,2020indeks,49.61165048543689
1985-05,INDHOLD,51.1
1985-05,pi^12_t,0.053608247422680444
1985-05,pi_t,0.0059055118110236116
1985-06,2020indeks,49.61165048543689
1985-06,INDHOLD,51.1
1985-06,pi^12_t,0.049281314168377666
1985-06,pi_t,0.0
1985-07,2020indeks,49.41747572815534
1985-07,INDHOLD,50.9
1985-07,pi^12_t,0.047325102880658276
1985-07,pi_t,-0.003913894324853229
1985-08,2020indeks,49.32038834951456
1985-08,INDHOLD,50.8
1985-08,pi^12_t,0.040983606557376984
1985-08,pi_t,-0.0019646365422397727
1985-09,2020indeks,49.61165048543689
1985-09,INDHOLD,51.1
1985-09,pi^12_t,0.03861788617886175
1985-09,pi_t,0.0059055118110236116
1985-10,2020indeks,49.80582524271844
1985-10,INDHOLD,51.3
1985-10,pi^12_t,0.03846153846153855
1985-10,pi_t,0.003913894324853118
1985-11,2020indeks,49.90291262135923
1985-11,INDHOLD,51.4
1985-11,pi^12_t,0.03212851405622508
1985-11,pi_t,0.0019493177387917004
1985-12,2020indeks,49.90291262135923
1985-12,INDHOLD,51.4
1985-12,pi^12_t,0.03420523138833009
1985-12,pi_t,0.0
1986-01,2020indeks,49.80582524271844
1986-01,INDHOLD,51.3
1986-01,pi^12_t,0.028056112224448926
1986-01,pi_t,-0.001945525291829009
1986-02,2020indeks,49.80582524271844
1986-02,INDHOLD,51.3
1986-02,pi^12_t,0.02191235059760932
1986-02,pi_t,0.0
1986-03,2020indeks,50.0
1986-03,INDHOLD,51.5
1986-03,pi^12_t,0.017786561264822254
1986-03,pi_t,0.003898635477582957
1986-04,2020indeks,51.262135922330096
1986-04,INDHOLD,52.8
1986-04,pi^12_t,0.03937007874015763
1986-04,pi_t,0.025242718446601975
1986-05,2020indeks,51.65048543689321
1986-05,INDHOLD,53.2
1986-05,pi^12_t,0.04109589041095907
1986-05,pi_t,0.007575757575757791
1986-06,2020indeks,51.553398058252434
1986-06,INDHOLD,53.1
1986-06,pi^12_t,0.03913894324853251
1986-06,pi_t,-0.00187969924812037
1986-07,2020indeks,51.262135922330096
1986-07,INDHOLD,52.8
1986-07,pi^12_t,0.037328094302554016
1986-07,pi_t,-0.005649717514124464
1986-08,2020indeks,51.45631067961165
1986-08,INDHOLD,53.0
1986-08,pi^12_t,0.04330708661417315
1986-08,pi_t,0.0037878787878786735
1986-09,2020indeks,51.84466019417475
1986-09,INDHOLD,53.4
1986-09,pi^12_t,0.045009784735811964
1986-09,pi_t,0.007547169811320753
1986-10,2020indeks,51.94174757281553
1986-10,INDHOLD,53.5
1986-10,pi^12_t,0.042884990253411415
1986-10,pi_t,0.0018726591760300781
1986-11,2020indeks,52.135922330097095
1986-11,INDHOLD,53.7
1986-11,pi^12_t,0.04474708171206232
1986-11,pi_t,0.0037383177570096127
1986-12,2020indeks,52.135922330097095
1986-12,INDHOLD,53.7
